team1,team2,score1,score2
paiN Gaming,Vivo Keyd Stars,3,1
Vivo Keyd Stars,RED Canids,3,2
RED Canids,LOUD,3,0
Vivo Keyd Stars,paiN Gaming,1,3
LOUD,FURIA Esports,3,2
Vivo Keyd Stars,RED Canids,3,1
paiN Gaming,LOUD,3,0
FURIA Esports,Fluxo,3,2
RED Canids,Fluxo,3,0
LOUD,FURIA Esports,3,2
Fluxo,FURIA Esports,0,1
KaBuM! e-Sports,FURIA Esports,0,1
RED Canids,KaBuM! e-Sports,1,0
Los Grandes,Liberty,0,1
INTZ e-Sports,Vivo Keyd Stars,0,1
paiN Gaming,FURIA Esports,1,0
LOUD,Fluxo,0,1
KaBuM! e-Sports,Los Grandes,0,1
Fluxo,RED Canids,0,1
paiN Gaming,INTZ e-Sports,1,0
LOUD,FURIA Esports,0,1
Liberty,Vivo Keyd Stars,0,1
KaBuM! e-Sports,paiN Gaming,1,0
RED Canids,Los Grandes,1,0
FURIA Esports,Liberty,1,0
Vivo Keyd Stars,LOUD,1,0
Fluxo,INTZ e-Sports,0,1
Los Grandes,Vivo Keyd Stars,0,1
INTZ e-Sports,FURIA Esports,0,1
Liberty,Fluxo,0,1
LOUD,KaBuM! e-Sports,1,0
RED Canids,paiN Gaming,1,0
Los Grandes,LOUD,0,1
FURIA Esports,RED Canids,0,1
INTZ e-Sports,KaBuM! e-Sports,0,1
paiN Gaming,Liberty,1,0
Vivo Keyd Stars,Fluxo,1,0
LOUD,INTZ e-Sports,0,1
Fluxo,Los Grandes,1,0
Vivo Keyd Stars,paiN Gaming,0,1
RED Canids,Liberty,1,0
KaBuM! e-Sports,FURIA Esports,1,0
INTZ e-Sports,RED Canids,0,1
Liberty,LOUD,0,1
KaBuM! e-Sports,Fluxo,1,0
FURIA Esports,Vivo Keyd Stars,0,1
paiN Gaming,Los Grandes,1,0
Liberty,INTZ e-Sports,1,0
Vivo Keyd Stars,KaBuM! e-Sports,1,0
Los Grandes,FURIA Esports,0,1
Fluxo,paiN Gaming,0,1
LOUD,RED Canids,0,1
FURIA Esports,Fluxo,1,0
paiN Gaming,LOUD,1,0
RED Canids,Vivo Keyd Stars,0,1
INTZ e-Sports,Los Grandes,1,0
KaBuM! e-Sports,Liberty,1,0
FURIA Esports,paiN Gaming,0,1
KaBuM! e-Sports,RED Canids,1,0
Fluxo,LOUD,0,1
Liberty,Los Grandes,1,0
Vivo Keyd Stars,INTZ e-Sports,1,0
FURIA Esports,LOUD,0,1
Los Grandes,KaBuM! e-Sports,0,1
Vivo Keyd Stars,Liberty,1,0
INTZ e-Sports,paiN Gaming,0,1
RED Canids,Fluxo,1,0
paiN Gaming,KaBuM! e-Sports,1,0
INTZ e-Sports,Fluxo,1,0
LOUD,Vivo Keyd Stars,1,0
Los Grandes,RED Canids,1,0
Liberty,FURIA Esports,0,1
Fluxo,Liberty,1,0
FURIA Esports,INTZ e-Sports,1,0
KaBuM! e-Sports,LOUD,0,1
paiN Gaming,RED Canids,1,0
Vivo Keyd Stars,Los Grandes,1,0
Liberty,paiN Gaming,0,1
