team1,team2,score1,score2
Gen.G eSports,Hanwha Life eSports,2,3
Hanwha Life eSports,T1,3,1
Dplus KIA,T1,1,3
Gen.G eSports,Hanwha Life eSports,3,1
Hanwha Life eSports,T1,3,0
Gen.G eSports,Dplus KIA,3,0
T1,KT Rolster,3,1
Dplus KIA,FearX,3,1
Hanwha Life eSports,Gen.G eSports,0,2
Nongshim RedForce,OK BRION,2,0
T1,FearX,2,0
Dplus KIA,KT Rolster,2,0
Gen.G eSports,Nongshim RedForce,2,0
DRX,Kwangdong Freecs,2,1
OK BRION,Dplus KIA,0,2
Hanwha Life eSports,FearX,2,0
Kwangdong Freecs,T1,1,2
KT Rolster,DRX,2,0
OK BRION,T1,0,2
Nongshim RedForce,Dplus KIA,1,2
Hanwha Life eSports,DRX,2,0
FearX,Kwangdong Freecs,2,1
T1,Nongshim RedForce,0,2
Gen.G eSports,KT Rolster,1,2
Dplus KIA,FearX,2,1
Hanwha Life eSports,OK BRION,2,0
Kwangdong Freecs,KT Rolster,2,0
DRX,Gen.G eSports,0,2
Kwangdong Freecs,Nongshim RedForce,2,0
OK BRION,KT Rolster,2,0
FearX,DRX,2,0
T1,Gen.G eSports,0,2
Dplus KIA,Kwangdong Freecs,2,1
Nongshim RedForce,Hanwha Life eSports,0,2
FearX,Gen.G eSports,0,2
OK BRION,DRX,2,0
KT Rolster,Hanwha Life eSports,2,1
T1,Dplus KIA,2,1
KT Rolster,Nongshim RedForce,2,1
T1,DRX,0,2
Gen.G eSports,Kwangdong Freecs,2,0
Hanwha Life eSports,Dplus KIA,2,1
KT Rolster,T1,1,2
FearX,OK BRION,2,0
Dplus KIA,DRX,2,0
Hanwha Life eSports,Kwangdong Freecs,2,0
Gen.G eSports,OK BRION,2,0
FearX,Nongshim RedForce,2,0
Nongshim RedForce,DRX,0,2
KT Rolster,FearX,1,2
Gen.G eSports,Dplus KIA,2,1
T1,Hanwha Life eSports,0,2
Kwangdong Freecs,OK BRION,1,2
KT Rolster,DRX,2,0
Gen.G eSports,Nongshim RedForce,2,0
FearX,T1,2,1
Hanwha Life eSports,Kwangdong Freecs,2,0
Dplus KIA,OK BRION,2,0
Hanwha Life eSports,FearX,0,2
Kwangdong Freecs,DRX,0,2
OK BRION,Nongshim RedForce,0,2
Gen.G eSports,Dplus KIA,0,2
Hanwha Life eSports,T1,2,1
FearX,KT Rolster,0,2
Gen.G eSports,Kwangdong Freecs,2,0
Dplus KIA,DRX,0,2
Nongshim RedForce,KT Rolster,0,2
T1,OK BRION,2,1
Dplus KIA,Kwangdong Freecs,2,1
OK BRION,FearX,0,2
Hanwha Life eSports,Nongshim RedForce,2,0
T1,KT Rolster,1,2
Gen.G eSports,DRX,2,0
FearX,Kwangdong Freecs,0,2
KT Rolster,OK BRION,2,1
Nongshim RedForce,Dplus KIA,0,2
Gen.G eSports,Hanwha Life eSports,2,0
T1,DRX,2,0
Hanwha Life eSports,KT Rolster,2,0
Gen.G eSports,OK BRION,2,0
FearX,Dplus KIA,0,2
Nongshim RedForce,DRX,2,1
T1,Kwangdong Freecs,2,1
OK BRION,Hanwha Life eSports,0,2
DRX,FearX,2,0
Gen.G eSports,KT Rolster,2,0
T1,Dplus KIA,0,2
Nongshim RedForce,Kwangdong Freecs,0,2
Gen.G eSports,T1,2,0
DRX,Hanwha Life eSports,1,2
KT Rolster,Dplus KIA,1,2
Kwangdong Freecs,OK BRION,1,2
T1,Nongshim RedForce,2,0
Gen.G eSports,FearX,2,0
OK BRION,DRX,1,2
Kwangdong Freecs,KT Rolster,0,2
Nongshim RedForce,FearX,1,2
Dplus KIA,Hanwha Life eSports,2,1
