team1,team2,score1,score2
Team Liquid,FlyQuest,1,3
FlyQuest,100 Thieves,3,0
Cloud9,100 Thieves,1,3
Team Liquid,FlyQuest,3,2
100 Thieves,Dignitas,3,2
Cloud9,FlyQuest,1,3
Team Liquid,100 Thieves,3,0
Dignitas,NRG,3,2
FlyQuest,NRG,3,1
Dignitas,100 Thieves,0,3
Dignitas,Immortals,2,1
FlyQuest,Cloud9,0,2
Shopify Rebellion,100 Thieves,1,2
NRG,Team Liquid,0,2
Team Liquid,Cloud9,2,1
FlyQuest,Shopify Rebellion,2,1
NRG,Dignitas,0,2
100 Thieves,Immortals,2,0
FlyQuest,100 Thieves,2,1
Team Liquid,Immortals,2,0
Shopify Rebellion,Dignitas,2,0
Cloud9,NRG,2,0
NRG,Shopify Rebellion,2,0
Cloud9,100 Thieves,2,0
Immortals,FlyQuest,0,2
Dignitas,Team Liquid,1,2
Dignitas,FlyQuest,0,2
Shopify Rebellion,Cloud9,0,2
Immortals,NRG,0,2
100 Thieves,Team Liquid,0,2
Team Liquid,Shopify Rebellion,2,0
FlyQuest,NRG,2,1
100 Thieves,Dignitas,0,2
Cloud9,Immortals,2,0
Immortals,Shopify Rebellion,2,0
100 Thieves,NRG,2,0
Cloud9,Dignitas,2,1
Team Liquid,FlyQuest,2,1
