team1,team2,score1,score2
Fnatic,G2 Esports,1,3
G2 Esports,MAD Lions KOI,3,1
MAD Lions KOI,Fnatic,2,3
G2 Esports,Team BDS,3,2
G2 Esports,GIANTX,3,0
SK Gaming,Team BDS,0,3
G2 Esports,MAD Lions KOI,2,3
Team BDS,Fnatic,0,3
Fnatic,G2 Esports,0,3
G2 Esports,Team BDS,3,1
Team BDS,Karmine Corp,3,2
SK Gaming,Karmine Corp,1,2
Team BDS,GIANTX,2,1
G2 Esports,Fnatic,2,3
Karmine Corp,MAD Lions KOI,2,0
Team Heretics,GIANTX,1,2
G2 Esports,Team BDS,2,0
SK Gaming,Fnatic,0,2
G2 Esports,Karmine Corp,2,0
Fnatic,GIANTX,2,1
Team BDS,MAD Lions KOI,2,1
SK Gaming,Team Heretics,2,0
MAD Lions KOI,Team Vitality,1,0
MAD Lions KOI,Rogue,1,0
GIANTX,Karmine Corp,0,1
Team Heretics,G2 Esports,0,1
Team BDS,Fnatic,1,0
MAD Lions KOI,Rogue,1,0
Team Vitality,SK Gaming,0,1
MAD Lions KOI,Team BDS,0,1
SK Gaming,Karmine Corp,1,0
G2 Esports,Team Vitality,1,0
Rogue,GIANTX,0,1
Fnatic,Team Heretics,0,1
Karmine Corp,Team Vitality,1,0
SK Gaming,MAD Lions KOI,1,0
Fnatic,G2 Esports,0,1
GIANTX,Team BDS,0,1
Rogue,Team Heretics,1,0
MAD Lions KOI,Fnatic,0,1
G2 Esports,Karmine Corp,1,0
Team Vitality,GIANTX,0,1
Team Heretics,SK Gaming,0,1
Team BDS,Rogue,1,0
Karmine Corp,Team BDS,0,1
SK Gaming,Fnatic,0,1
GIANTX,MAD Lions KOI,1,0
Rogue,G2 Esports,0,1
Team Vitality,Team Heretics,1,0
G2 Esports,GIANTX,1,0
Team Heretics,Karmine Corp,1,0
MAD Lions KOI,Team Vitality,0,1
Fnatic,Rogue,1,0
Team BDS,SK Gaming,0,1
Team Heretics,MAD Lions KOI,0,1
Rogue,Karmine Corp,0,1
Team BDS,G2 Esports,1,0
GIANTX,SK Gaming,0,1
Fnatic,Team Vitality,1,0
G2 Esports,SK Gaming,0,1
Fnatic,GIANTX,1,0
Karmine Corp,MAD Lions KOI,1,0
Rogue,Team Vitality,1,0
Team BDS,Team Heretics,1,0
Karmine Corp,Fnatic,0,1
MAD Lions KOI,G2 Esports,0,1
Team Vitality,Team BDS,0,1
SK Gaming,Rogue,1,0
Team Heretics,GIANTX,1,0
