team1,team2,score1,score2
Movistar R7,Infinity eSports,3,0
Isurus,Infinity eSports,2,3
Estral Esports,Infinity eSports,2,3
Movistar R7,Isurus,3,1
Isurus,Infinity eSports,3,1
Movistar R7,Estral Esports,3,2
Estral Esports,Infinity eSports,1,2
Leviatan,Movistar R7,1,1
Infinity eSports,Six Karma,2,0
Isurus,Estral Esports,1,1
Six Karma,Isurus,0,2
Infinity eSports,Movistar R7,1,1
Leviatan,Estral Esports,0,2
Infinity eSports,Leviatan,2,0
Six Karma,Estral Esports,0,2
Isurus,Movistar R7,0,2
Leviatan,Isurus,0,2
Infinity eSports,Estral Esports,1,1
Six Karma,Movistar R7,0,2
Movistar R7,Estral Esports,1,1
Infinity eSports,Isurus,1,1
Six Karma,Leviatan,1,1
Six Karma,Infinity eSports,0,2
Estral Esports,Isurus,0,2
Movistar R7,Leviatan,1,1
Infinity eSports,Movistar R7,1,1
Estral Esports,Leviatan,1,1
Isurus,Six Karma,2,0
Estral Esports,Six Karma,2,0
Movistar R7,Isurus,0,2
Leviatan,Infinity eSports,2,0
Infinity eSports,Estral Esports,1,1
Movistar R7,Six Karma,0,2
Isurus,Leviatan,2,0
Leviatan,Six Karma,2,0
Estral Esports,Movistar R7,1,1
Isurus,Infinity eSports,1,1
