team1,team2,score1,score2
JD Gaming,Weibo Gaming,2,3
Ninjas in Pyjamas,JD Gaming,2,3
Weibo Gaming,LNG Esports,0,3
Bilibili Gaming,Weibo Gaming,3,0
Top Esports,Weibo Gaming,2,3
LNG Esports,Weibo Gaming,2,3
Top Esports,Bilibili Gaming,1,3
LNG Esports,Top Esports,0,3
Bilibili Gaming,Weibo Gaming,3,0
Top Esports,Anyone s Legend,3,1
Weibo Gaming,Ninjas in Pyjamas,3,1
Anyone s Legend,Funplus Phoenix,3,1
JD Gaming,Ninjas in Pyjamas,2,3
Funplus Phoenix,TT,3,2
LGD Gaming,Ninjas in Pyjamas,1,3
OMG,TT,0,3
Ninjas in Pyjamas,Rare Atom,3,0
LGD Gaming,Invictus Gaming,3,2
JD Gaming,Top Esports,0,2
Funplus Phoenix,Bilibili Gaming,0,2
Bilibili Gaming,Anyone s Legend,2,1
Ninjas in Pyjamas,LGD Gaming,1,2
OMG,Rare Atom,2,0
Royal Never Give Up,TT,0,2
Funplus Phoenix,Weibo Gaming,0,2
Anyone s Legend,LNG Esports,1,2
Invictus Gaming,Team WE,2,0
Funplus Phoenix,Top Esports,0,2
Edward Gaming,Ultra Prime,2,0
LGD Gaming,LNG Esports,1,2
Bilibili Gaming,Ninjas in Pyjamas,2,1
Anyone s Legend,Top Esports,0,2
OMG,TT,0,2
Weibo Gaming,LGD Gaming,2,0
Invictus Gaming,Royal Never Give Up,2,1
Rare Atom,Team WE,2,1
LNG Esports,JD Gaming,2,1
Ultra Prime,OMG,1,2
Top Esports,Ninjas in Pyjamas,2,0
Weibo Gaming,Bilibili Gaming,1,2
TT,Edward Gaming,1,2
Rare Atom,Royal Never Give Up,2,0
LNG Esports,Funplus Phoenix,0,2
Team WE,Ultra Prime,0,2
JD Gaming,Bilibili Gaming,1,2
Top Esports,LGD Gaming,2,0
Team WE,OMG,0,2
Ninjas in Pyjamas,JD Gaming,0,2
LGD Gaming,Funplus Phoenix,1,2
Invictus Gaming,Edward Gaming,2,0
Bilibili Gaming,LNG Esports,1,2
Weibo Gaming,Anyone s Legend,2,0
Royal Never Give Up,Ultra Prime,2,1
Top Esports,Weibo Gaming,2,0
Team WE,TT,0,2
Funplus Phoenix,Ninjas in Pyjamas,2,1
Rare Atom,Edward Gaming,2,1
Bilibili Gaming,LGD Gaming,2,0
Invictus Gaming,OMG,1,2
LNG Esports,Top Esports,2,0
Anyone s Legend,JD Gaming,1,2
Ultra Prime,TT,0,2
Weibo Gaming,Ninjas in Pyjamas,2,0
Team WE,Royal Never Give Up,2,0
Rare Atom,Invictus Gaming,2,0
Top Esports,Bilibili Gaming,1,2
Edward Gaming,OMG,1,2
LGD Gaming,JD Gaming,0,2
Ninjas in Pyjamas,Anyone s Legend,0,2
Ultra Prime,Rare Atom,2,0
LNG Esports,Weibo Gaming,2,1
TT,Invictus Gaming,2,0
JD Gaming,Funplus Phoenix,2,1
OMG,Royal Never Give Up,2,0
LGD Gaming,Anyone s Legend,0,2
Edward Gaming,Team WE,0,2
Ninjas in Pyjamas,LNG Esports,0,2
Ultra Prime,Invictus Gaming,0,2
JD Gaming,Weibo Gaming,0,2
TT,Rare Atom,0,2
Anyone s Legend,Funplus Phoenix,2,0
Edward Gaming,Royal Never Give Up,2,1
