team1,team2,score1,score2
Gen.G eSports,Bilibili Gaming,3,1
Bilibili Gaming,T1,3,2
T1,G2 Esports,3,0
Gen.G eSports,Bilibili Gaming,3,1
T1,Team Liquid,3,1
Top Esports,G2 Esports,0,3
Bilibili Gaming,T1,3,1
G2 Esports,PSG Talon,3,0
Gen.G eSports,Top Esports,3,2
Fnatic,Team Liquid,1,3
G2 Esports,T1,2,3
Bilibili Gaming,PSG Talon,3,2
Gen.G eSports,Fnatic,3,0
Team Liquid,Top Esports,0,3
Fnatic,GAM Esports,2,0
FlyQuest,PSG Talon,0,2
LOUD,GAM Esports,1,2
PSG Talon,Estral Esports,2,0
Top Esports,Fnatic,2,1
T1,FlyQuest,2,0
Top Esports,LOUD,2,0
Fnatic,GAM Esports,2,0
T1,Estral Esports,2,0
FlyQuest,PSG Talon,2,1
