team1,team2,score1,score2
PSG Talon,SoftBank Hawks Gaming,3,1
SoftBank Hawks Gaming,Frank Esports,3,1
Frank Esports,CTBC Flying Oyster,3,1
PSG Talon,SoftBank Hawks Gaming,3,0
CTBC Flying Oyster,Deep Cross Gaming,3,0
Frank Esports,Detonation FocusMe,3,0
Deep Cross Gaming,SoftBank Hawks Gaming,2,3
PSG Talon,Frank Esports,3,0
Frank Esports,CTBC Flying Oyster,3,2
Detonation FocusMe,Deep Cross Gaming,1,3
Frank Esports,Ground Zero Gaming,0,3
Ground Zero Gaming,J Team,2,1
Frank Esports,Team Bliss,2,1
Ground Zero Gaming,Sengoku Gaming,2,0
CTBC Flying Oyster,J Team,2,0
Frank Esports,West Point Esports,2,1
Detonation FocusMe,Team Bliss,2,0
CTBC Flying Oyster,Sengoku Gaming,1,2
Ground Zero Gaming,J Team,1,2
Frank Esports,Team Bliss,1,2
Detonation FocusMe,West Point Esports,2,0
CTBC Flying Oyster,PSG Talon,0,2
Frank Esports,J Team,2,0
CTBC Flying Oyster,Deep Cross Gaming,2,1
West Point Esports,HELL PIGS,0,2
PSG Talon,Deep Cross Gaming,1,2
Frank Esports,HELL PIGS,2,0
PSG Talon,Deep Cross Gaming,2,0
J Team,West Point Esports,2,0
Deep Cross Gaming,CTBC Flying Oyster,2,0
J Team,HELL PIGS,2,0
PSG Talon,CTBC Flying Oyster,2,0
Frank Esports,West Point Esports,2,0
HELL PIGS,PSG Talon,0,2
Frank Esports,Deep Cross Gaming,1,2
J Team,CTBC Flying Oyster,0,2
HELL PIGS,West Point Esports,0,2
CTBC Flying Oyster,PSG Talon,0,2
J Team,West Point Esports,0,2
PSG Talon,Frank Esports,2,1
CTBC Flying Oyster,West Point Esports,2,0
J Team,Deep Cross Gaming,0,3
Frank Esports,HELL PIGS,2,0
PSG Talon,Deep Cross Gaming,2,0
J Team,Frank Esports,1,2
HELL PIGS,CTBC Flying Oyster,0,2
Deep Cross Gaming,West Point Esports,2,0
J Team,PSG Talon,0,2
Frank Esports,CTBC Flying Oyster,1,2
HELL PIGS,Deep Cross Gaming,0,2
PSG Talon,West Point Esports,2,0
Deep Cross Gaming,CTBC Flying Oyster,0,2
West Point Esports,Frank Esports,0,2
J Team,HELL PIGS,2,0
