team1,team2,score1,score2
GAM Esports,Vikings Esports,3,0
Vikings Esports,Team Whales,3,0
Vikings Esports,GAM Esports,2,3
Team Secret,Team Whales,2,3
Vikings Esports,Team Whales,3,0
GAM Esports,Team Secret,3,0
Team Flash,Team Whales,0,3
GAM Esports,Vikings Esports,0,2
Cerberus Esports,Team Secret,0,2
Team Whales,MGN Blue Esports,0,2
GAM Esports,Team Secret,2,0
Team Flash,Vikings Esports,0,2
MGN Blue Esports,Cerberus Esports,2,0
Team Flash,Team Secret,2,0
MGN Blue Esports,Team Whales,1,2
Cerberus Esports,Vikings Esports,1,2
Team Flash,GAM Esports,0,2
Team Secret,MGN Blue Esports,2,0
Team Whales,Cerberus Esports,2,0
Vikings Esports,MGN Blue Esports,2,1
Team Flash,Team Whales,2,1
Team Secret,Team Whales,2,0
GAM Esports,Team Flash,2,0
MGN Blue Esports,Cerberus Esports,0,2
Team Flash,Team Secret,1,2
GAM Esports,MGN Blue Esports,1,2
Vikings Esports,Cerberus Esports,3,0
Team Whales,GAM Esports,0,2
Vikings Esports,Team Secret,2,0
Team Flash,MGN Blue Esports,2,1
Cerberus Esports,Team Whales,0,2
Team Secret,GAM Esports,0,2
Team Flash,Cerberus Esports,2,1
MGN Blue Esports,Vikings Esports,0,2
Team Secret,Team Whales,2,0
GAM Esports,Cerberus Esports,2,0
Vikings Esports,Team Flash,2,0
MGN Blue Esports,GAM Esports,1,2
Vikings Esports,Team Whales,2,1
Cerberus Esports,Team Flash,2,1
MGN Blue Esports,Team Secret,0,2
GAM Esports,Vikings Esports,2,1
Team Whales,Team Flash,3,0
Team Whales,GAM Esports,0,2
Vikings Esports,Team Secret,0,2
GAM Esports,Cerberus Esports,2,1
MGN Blue Esports,Team Flash,2,0
Vikings Esports,Team Whales,0,2
Cerberus Esports,Team Secret,1,2
