team1,team2,score1,score2
Weibo Gaming,T1,0,3
JD Gaming,T1,3,1
Weibo Gaming,Bilibili Gaming,3,2
LNG Esports,T1,0,3
JD Gaming,KT Rolster,3,1
Gen.G eSports,Bilibili Gaming,2,3
NRG,Weibo Gaming,0,3
G2 Esports,Bilibili Gaming,1,2
Fnatic,Weibo Gaming,1,2
KT Rolster,Dplus KIA,2,0
T1,Bilibili Gaming,2,0
NRG,G2 Esports,2,0
KT Rolster,LNG Esports,1,2
Dplus KIA,GAM Esports,2,0
MAD Lions,Weibo Gaming,0,2
Cloud9,Fnatic,1,2
Dplus KIA,Team BDS,2,0
Team Liquid,GAM Esports,1,2
KT Rolster,Weibo Gaming,1,0
Bilibili Gaming,Fnatic,1,0
NRG,MAD Lions,1,0
T1,Cloud9,1,0
G2 Esports,Gen.G eSports,0,2
JD Gaming,LNG Esports,2,1
Dplus KIA,KT Rolster,0,1
JD Gaming,Bilibili Gaming,1,0
G2 Esports,Weibo Gaming,1,0
Gen.G eSports,T1,1,0
Fnatic,GAM Esports,1,0
MAD Lions,Team BDS,1,0
Cloud9,LNG Esports,0,1
NRG,Team Liquid,1,0
Bilibili Gaming,KT Rolster,1,0
LNG Esports,Fnatic,1,0
Weibo Gaming,NRG,1,0
G2 Esports,Dplus KIA,1,0
Team BDS,JD Gaming,0,1
Gen.G eSports,GAM Esports,1,0
Cloud9,MAD Lions,1,0
T1,Team Liquid,1,0
PSG Talon,Team BDS,2,3
GAM Esports,Team Whales,3,1
CTBC Flying Oyster,Team BDS,0,2
LOUD,GAM Esports,0,2
Team BDS,Detonation FocusMe,0,2
GAM Esports,Movistar R7,0,2
Team Whales,CTBC Flying Oyster,1,2
LOUD,PSG Talon,0,2
Team BDS,Team Whales,1,2
Detonation FocusMe,CTBC Flying Oyster,0,2
LOUD,GAM Esports,2,0
Movistar R7,PSG Talon,0,2
